Order No,User Id,Vehicle Type,Platform Type,Personal or Business,Placement - Day of Month,Placement - Weekday (Mo = 1),Placement - Time,Confirmation - Day of Month,Confirmation - Weekday (Mo = 1),Confirmation - Time,Arrival at Pickup - Day of Month,Arrival at Pickup - Weekday (Mo = 1),Arrival at Pickup - Time,Pickup - Day of Month,Pickup - Weekday (Mo = 1),Pickup - Time,Arrival at Destination - Day of Month,Arrival at Destination - Weekday (Mo = 1),Arrival at Destination - Time,Distance (KM),Temperature,Precipitation in millimeters,Pickup Lat,Pickup Long,Destination Lat,Destination Long,Rider Id,Time from Pickup to Arrival
Order_No_823,User_Id_2820,Bike,3,Personal,15,3,9:23:37 AM,15,3,9:31:27 AM,15,3,10:10:28 AM,15,3,10:14:53 AM,15,3,10:32:29 AM,9,16.4,,-1.3291184,36.7892374,-1.2903421,36.7885282,Rider_Id_208,1056
Order_No_2533,User_Id_704,Bike,1,Business,2,2,3:43:20 PM,2,2,3:44:16 PM,2,2,3:59:18 PM,2,2,4:17:27 PM,2,2,5:22:25 PM,17,26.1,,-1.2584143,36.8048002,-1.2860183,36.8975338,Rider_Id_937,3898
Order_No_7842,User_Id_1990,Bike,3,Business,23,4,2:37:42 PM,23,4,2:39:00 PM,23,4,2:49:27 PM,23,4,3:01:57 PM,23,4,3:45:59 PM,10,24.6,,-1.2558721,36.722296,-1.2754420,36.7660207,Rider_Id_868,2642
Order_No_6452,User_Id_3295,Bike,3,Business,25,5,9:12:08 AM,25,5,9:14:08 AM,25,5,9:14:53 AM,25,5,9:27:34 AM,25,5,10:15:58 AM,21,20.9,,-1.2571472,36.7950633,-1.3908674,36.7674236,Rider_Id_536,2904
Order_No_9463,User_Id_248,Bike,3,Business,23,4,10:05:04 AM,23,4,10:05:49 AM,23,4,10:17:51 AM,23,4,10:27:05 AM,23,4,10:33:52 AM,1,,,-1.3047350,36.7846054,-1.2993231,36.7753372,Rider_Id_607,407
Order_No_21335,User_Id_3599,Bike,3,Business,2,4,12:33:50 PM,2,4,12:52:23 PM,2,4,1:17:57 PM,2,4,1:38:25 PM,2,4,2:10:11 PM,13,,,-1.3302996,36.8707935,-1.2644742,36.8083457,Rider_Id_427,1906
Order_No_21307,User_Id_198,Bike,3,Business,19,3,11:57:55 AM,19,3,11:58:07 AM,19,3,12:07:53 PM,19,3,12:15:32 PM,19,3,12:54:00 PM,17,,,-1.3396256,36.8863135,-1.2705297,36.7987172,Rider_Id_265,2308
Order_No_8201,User_Id_1500,Bike,3,Business,15,2,11:34:28 AM,15,2,11:35:48 AM,15,2,12:19:58 PM,15,2,12:25:08 PM,15,2,1:09:07 PM,13,24.4,,-1.2574219,36.7927073,-1.3228003,36.8306435,Rider_Id_725,2639
Order_No_11630,User_Id_391,Bike,3,Business,14,3,9:12:10 AM,14,3,11:21:57 AM,14,3,11:31:02 AM,14,3,11:33:31 AM,14,3,11:59:41 AM,5,24.4,,-1.2599563,36.7993439,-1.2867454,36.8259017,Rider_Id_436,1570
Order_No_19866,User_Id_3722,Bike,1,Personal,28,2,2:12:53 PM,28,2,2:14:55 PM,28,2,2:42:22 PM,28,2,2:50:07 PM,28,2,4:00:27 PM,5,19.4,,-1.2872899,36.820434,-1.2898354,36.7872703,Rider_Id_447,4220
Order_No_23338,User_Id_1960,Bike,3,Personal,12,2,10:04:11 AM,12,2,10:26:25 AM,12,2,10:41:32 AM,12,2,10:44:52 AM,12,2,11:03:24 AM,7,20.8,,-1.3023756,36.7949276,-1.2574088,36.799712,Rider_Id_366,1112
Order_No_14810,User_Id_3698,Bike,3,Business,22,3,10:42:19 AM,22,3,10:42:39 AM,22,3,11:14:29 AM,22,3,11:15:38 AM,22,3,11:51:02 AM,24,23.3,,-1.3244885,36.897792,-1.3107918,36.761794,Rider_Id_856,2124
Order_No_12412,User_Id_1362,Bike,1,Personal,10,4,7:27:32 PM,10,4,7:27:53 PM,10,4,7:46:17 PM,10,4,7:49:09 PM,10,4,8:13:57 PM,11,18.1,3.9,-1.2627555,36.7929553,-1.2105984,36.8109774,Rider_Id_881,1488
Order_No_663,User_Id_1404,Bike,2,Personal,11,5,10:03:14 AM,11,5,10:04:09 AM,11,5,10:26:21 AM,11,5,10:35:25 AM,11,5,10:58:49 AM,10,20.8,,-1.3211235,36.7765164,-1.2869041,36.8240057,Rider_Id_338,1404
Order_No_4818,User_Id_2030,Bike,3,Business,11,2,3:38:33 PM,11,2,3:42:08 PM,11,2,3:50:17 PM,11,2,3:53:17 PM,11,2,4:53:34 PM,3,22.5,,-1.2969741,36.7856612,-1.2959080,36.791433,Rider_Id_596,3617
Order_No_8816,User_Id_346,Bike,3,Business,3,3,12:12:10 PM,3,3,12:13:29 PM,3,3,12:47:40 PM,3,3,12:52:48 PM,3,3,1:36:14 PM,13,27.2,,-1.2859912,36.8756811,-1.2887800,36.8168312,Rider_Id_76,2606
Order_No_17338,User_Id_1582,Bike,1,Business,5,5,2:42:27 PM,5,5,2:45:42 PM,5,5,2:59:57 PM,5,5,3:01:56 PM,5,5,3:21:05 PM,5,26.5,,-1.2735999,36.8218131,-1.2508229,36.7895263,Rider_Id_407,1149
Order_No_12130,User_Id_627,Bike,3,Business,19,2,12:28:42 PM,19,2,12:29:26 PM,19,2,12:30:55 PM,19,2,12:42:07 PM,19,2,1:10:58 PM,17,27.3,,-1.2551895,36.7822034,-1.3339943,36.7263409,Rider_Id_630,1731
Order_No_21312,User_Id_3560,Bike,3,Business,14,3,1:53:26 PM,14,3,2:16:41 PM,14,3,2:25:54 PM,14,3,2:28:10 PM,14,3,3:22:11 PM,9,25.6,,-1.2793950,36.825364,-1.3242351,36.8202498,Rider_Id_237,3241
Order_No_13398,User_Id_2383,Bike,3,Business,28,3,8:33:07 AM,28,3,8:33:21 AM,28,3,8:37:38 AM,28,3,8:45:10 AM,28,3,8:57:03 AM,1,20.5,,-1.2608993,36.799246,-1.2631940,36.797624,Rider_Id_407,713
Order_No_13031,User_Id_1346,Bike,3,Business,10,1,3:26:29 PM,10,1,3:26:50 PM,10,1,3:47:49 PM,10,1,3:52:11 PM,10,1,4:29:12 PM,20,18.8,,-1.2917868,36.7872675,-1.3700383,36.9190174,Rider_Id_622,2221
Order_No_17028,User_Id_3184,Bike,3,Business,12,2,9:04:19 AM,12,2,9:05:26 AM,12,2,9:42:51 AM,12,2,9:49:56 AM,12,2,10:39:22 AM,11,16.1,,-1.3067663,36.8438792,-1.3457877,36.8811894,Rider_Id_302,2966
Order_No_15792,User_Id_909,Bike,3,Business,17,3,4:08:47 PM,17,3,4:18:18 PM,17,3,4:26:43 PM,17,3,4:36:18 PM,17,3,5:06:41 PM,12,,,-1.2253220,36.80855,-1.2908940,36.822971,Rider_Id_634,1823
Order_No_4861,User_Id_3291,Bike,3,Business,22,2,4:17:07 PM,22,2,4:17:53 PM,22,2,4:27:17 PM,22,2,4:47:56 PM,22,2,5:12:40 PM,12,25.3,,-1.2289110,36.881876,-1.2600926,36.8088685,Rider_Id_75,1484
Order_No_1211,User_Id_3222,Bike,3,Business,13,4,2:42:33 PM,13,4,2:43:54 PM,13,4,2:53:49 PM,13,4,2:58:13 PM,13,4,3:11:53 PM,3,22.3,,-1.2551895,36.7822034,-1.2676026,36.8103629,Rider_Id_523,820
Order_No_5857,User_Id_788,Bike,3,Business,8,5,5:01:08 PM,8,5,5:02:32 PM,8,5,5:07:13 PM,8,5,5:11:57 PM,8,5,5:39:06 PM,7,25.3,,-1.2584143,36.8048002,-1.2253220,36.80855,Rider_Id_903,1629
Order_No_9676,User_Id_393,Bike,3,Business,28,1,11:47:23 AM,28,1,1:01:54 PM,28,1,1:02:08 PM,28,1,1:35:48 PM,28,1,1:35:50 PM,4,26.3,,-1.3167113,36.8301563,-1.3004062,36.829741,Rider_Id_619,2
Order_No_27859,User_Id_142,Bike,3,Business,30,3,1:17:29 PM,30,3,1:18:11 PM,30,3,1:28:47 PM,30,3,1:34:12 PM,30,3,1:57:14 PM,8,29.2,,-1.2570328,36.7869744,-1.2963097,36.7688221,Rider_Id_328,1382
Order_No_20416,User_Id_1015,Bike,1,Personal,7,1,4:01:21 PM,7,1,4:19:41 PM,7,1,4:41:46 PM,7,1,5:05:05 PM,7,1,5:38:09 PM,9,20,,-1.3331402,36.8925275,-1.3793096,36.9310421,Rider_Id_521,1984
Order_No_21067,User_Id_1245,Bike,3,Business,14,4,8:35:04 AM,14,4,8:36:10 AM,14,4,8:42:35 AM,14,4,8:55:16 AM,14,4,9:27:37 AM,16,18,,-1.2602337,36.7990548,-1.3198615,36.7110323,Rider_Id_427,1941
Order_No_15011,User_Id_2634,Bike,3,Business,31,5,11:26:37 AM,31,5,11:29:06 AM,31,5,11:29:13 AM,31,5,11:33:16 AM,31,5,12:17:07 PM,21,21.6,,-1.2963097,36.7688221,-1.3160977,36.9131642,Rider_Id_330,2631
Order_No_18612,User_Id_379,Bike,1,Personal,7,2,1:59:23 PM,7,2,1:59:54 PM,7,2,2:23:42 PM,7,2,2:39:04 PM,7,2,3:42:29 PM,8,24.8,,-1.2655332,36.8094648,-1.2729217,36.7624829,Rider_Id_229,3805
Order_No_4889,User_Id_2869,Bike,3,Business,24,3,4:57:28 PM,24,3,4:57:59 PM,24,3,5:16:11 PM,24,3,5:51:50 PM,24,3,6:26:37 PM,16,,,-1.2253220,36.80855,-1.3025826,36.7670807,Rider_Id_484,2087
Order_No_27861,User_Id_407,Bike,2,Personal,27,4,1:15:54 PM,27,4,1:16:46 PM,27,4,1:21:22 PM,27,4,1:26:55 PM,27,4,1:52:35 PM,21,23,,-1.3017960,36.8012024,-1.3533402,36.9078924,Rider_Id_844,1540
Order_No_2363,User_Id_2869,Bike,3,Business,3,3,2:11:49 PM,3,3,2:16:34 PM,3,3,2:37:07 PM,3,3,2:42:20 PM,3,3,3:17:46 PM,9,28.1,,-1.3025826,36.7670807,-1.2551895,36.7822034,Rider_Id_477,2126
Order_No_13052,User_Id_250,Bike,2,Personal,16,4,11:19:46 AM,16,4,11:20:52 AM,16,4,11:33:06 AM,16,4,11:34:35 AM,16,4,11:45:03 AM,2,14.7,,-1.2642903,36.8002137,-1.2695340,36.80697,Rider_Id_650,628
Order_No_14365,User_Id_3641,Bike,3,Business,26,2,2:22:29 PM,26,2,2:45:33 PM,26,2,2:49:55 PM,26,2,2:52:46 PM,26,2,3:18:05 PM,8,,,-1.2551895,36.7822034,-1.2998903,36.8179213,Rider_Id_726,1519
Order_No_16595,User_Id_1119,Bike,1,Personal,27,4,3:09:20 PM,27,4,3:25:10 PM,27,4,3:53:55 PM,27,4,3:55:27 PM,27,4,4:31:39 PM,18,25,,-1.3832336,36.7647372,-1.3208162,36.8451209,Rider_Id_676,2172
Order_No_12932,User_Id_2102,Bike,3,Business,18,1,12:29:42 PM,18,1,12:29:55 PM,18,1,12:38:13 PM,18,1,12:43:20 PM,18,1,1:11:25 PM,15,26.7,,-1.3323107,36.8692616,-1.2613768,36.8019418,Rider_Id_650,1685
Order_No_10939,User_Id_1976,Bike,3,Business,7,2,11:05:53 AM,7,2,11:07:35 AM,7,2,11:11:54 AM,7,2,11:15:54 AM,7,2,11:42:51 AM,12,,,-1.2570280,36.7810435,-1.3073569,36.8202163,Rider_Id_647,1617
Order_No_1131,User_Id_2761,Bike,3,Personal,21,5,10:54:37 AM,21,5,10:55:49 AM,21,5,11:10:49 AM,21,5,11:12:36 AM,21,5,11:39:57 AM,11,23,,-1.3038645,36.8684596,-1.2950041,36.8143583,Rider_Id_675,1641
Order_No_15298,User_Id_3686,Bike,3,Business,9,3,10:11:22 AM,9,3,10:11:27 AM,9,3,10:11:32 AM,9,3,10:17:20 AM,9,3,10:51:09 AM,19,17.6,0.8,-1.2559560,36.789867,-1.3344740,36.88389,Rider_Id_771,2029
Order_No_27809,User_Id_3326,Bike,3,Business,13,4,4:16:05 PM,13,4,4:16:23 PM,13,4,5:10:03 PM,13,4,5:14:41 PM,13,4,5:14:45 PM,3,22.7,,-1.2551895,36.7822034,-1.2565220,36.7864132,Rider_Id_536,4
Order_No_25221,User_Id_3222,Bike,3,Business,27,3,9:40:58 AM,27,3,9:42:00 AM,27,3,9:50:40 AM,27,3,9:55:57 AM,27,3,10:13:32 AM,8,,,-1.2551895,36.7822034,-1.2964348,36.8182757,Rider_Id_953,1055
Order_No_22790,User_Id_1271,Bike,3,Business,17,2,1:07:06 PM,17,2,1:07:36 PM,17,2,1:24:42 PM,17,2,1:25:49 PM,17,2,1:56:24 PM,28,19.2,,-1.3244885,36.897792,-1.3107918,36.761794,Rider_Id_650,1835
Order_No_310,User_Id_893,Bike,3,Business,14,5,12:49:23 PM,14,5,2:34:49 PM,14,5,3:10:48 PM,14,5,3:12:55 PM,14,5,3:47:48 PM,8,23.9,,-1.2663194,36.809901,-1.2985153,36.7876043,Rider_Id_441,2093
Order_No_14114,User_Id_909,Bike,3,Business,5,5,1:05:35 PM,5,5,1:06:06 PM,5,5,1:12:13 PM,5,5,1:23:52 PM,5,5,1:55:30 PM,10,24.7,,-1.2253220,36.80855,-1.2653185,36.8358841,Rider_Id_108,1898
Order_No_7973,User_Id_3730,Bike,2,Personal,15,1,12:22:21 PM,15,1,12:22:42 PM,15,1,12:49:50 PM,15,1,12:57:53 PM,15,1,1:16:54 PM,8,,,-1.3929709,36.7504644,-1.3440693,36.7518442,Rider_Id_328,1141
Order_No_17495,User_Id_2982,Bike,3,Business,8,5,10:17:51 AM,8,5,10:18:18 AM,8,5,10:25:16 AM,8,5,10:43:06 AM,8,5,11:30:13 AM,18,28.2,,-1.3009210,36.828195,-1.1772020,36.8351183,Rider_Id_519,2827
Order_No_7925,User_Id_113,Bike,1,Business,10,5,10:53:35 AM,10,5,10:53:39 AM,10,5,11:00:25 AM,10,5,11:03:12 AM,10,5,11:23:32 AM,8,19.1,,-1.2844653,36.8206676,-1.2963097,36.7688221,Rider_Id_229,1220
Order_No_24544,User_Id_1051,Bike,3,Business,19,1,9:45:43 AM,19,1,10:34:59 AM,19,1,10:38:29 AM,19,1,11:06:36 AM,19,1,11:45:43 AM,8,24.6,,-1.2891922,36.825189,-1.2963097,36.7688221,Rider_Id_462,2347
Order_No_8642,User_Id_20,Bike,3,Business,1,3,10:58:13 AM,1,3,10:59:23 AM,1,3,11:05:37 AM,1,3,11:14:16 AM,1,3,11:28:14 AM,2,20.1,,-1.2628638,36.8070399,-1.2634190,36.8060348,Rider_Id_208,838
Order_No_24325,User_Id_2069,Bike,3,Business,27,3,11:06:06 AM,27,3,11:07:19 AM,27,3,11:26:44 AM,27,3,11:31:44 AM,27,3,11:48:43 AM,9,26.3,,-1.2657150,36.823815,-1.2289110,36.881876,Rider_Id_269,1019
Order_No_12251,User_Id_1976,Bike,3,Business,15,6,9:43:01 AM,15,6,9:43:16 AM,15,6,9:55:41 AM,15,6,10:03:17 AM,15,6,10:23:28 AM,14,17.7,,-1.3264710,36.8487849,-1.2570280,36.7810435,Rider_Id_882,1211
Order_No_25240,User_Id_517,Bike,3,Business,4,5,10:08:16 AM,4,5,10:08:43 AM,4,5,10:11:56 AM,4,5,10:17:54 AM,4,5,10:39:30 AM,11,17.3,0.4,-1.3167113,36.8301563,-1.2574219,36.7927073,Rider_Id_523,1296
Order_No_4994,User_Id_3470,Bike,3,Business,8,3,5:40:32 PM,8,3,5:42:44 PM,8,3,5:42:48 PM,8,3,5:52:13 PM,8,3,7:03:46 PM,11,,,-1.2887800,36.8168312,-1.2916953,36.8855273,Rider_Id_61,4293
Order_No_28233,User_Id_1224,Bike,1,Personal,22,5,12:48:44 PM,22,5,12:49:40 PM,22,5,12:52:47 PM,22,5,1:04:16 PM,22,5,1:20:13 PM,3,21.9,,-1.3040330,36.7848695,-1.2923533,36.7883364,Rider_Id_474,957
Order_No_21811,User_Id_2179,Bike,3,Business,7,4,10:25:56 AM,7,4,10:26:20 AM,7,4,10:42:53 AM,7,4,10:52:17 AM,7,4,10:58:47 AM,2,24.5,,-1.2527958,36.8003131,-1.2571472,36.7950633,Rider_Id_547,390
Order_No_28095,User_Id_633,Bike,3,Business,16,3,2:29:26 PM,16,3,2:30:29 PM,16,3,2:46:02 PM,16,3,3:01:39 PM,16,3,3:09:49 PM,4,26.9,,-1.3077869,36.8443207,-1.3004062,36.829741,Rider_Id_188,490
Order_No_1297,User_Id_893,Bike,3,Business,5,1,10:21:12 AM,5,1,10:21:59 AM,5,1,10:25:13 AM,5,1,10:31:12 AM,5,1,10:47:46 AM,9,18.4,,-1.2594474,36.8089122,-1.2273124,36.8163603,Rider_Id_101,994
Order_No_27629,User_Id_598,Bike,1,Business,21,1,5:35:02 PM,21,1,5:36:17 PM,21,1,5:51:53 PM,21,1,5:55:28 PM,21,1,6:41:54 PM,4,,,-1.2536797,36.7995085,-1.2653906,36.8134406,Rider_Id_668,2786
Order_No_1210,User_Id_435,Bike,3,Business,14,5,11:27:53 AM,14,5,11:35:27 AM,14,5,11:49:13 AM,14,5,11:58:22 AM,14,5,12:12:29 PM,7,22,,-1.3009210,36.828195,-1.3271684,36.8173021,Rider_Id_76,847
Order_No_4354,User_Id_959,Bike,2,Personal,18,4,1:00:14 PM,18,4,1:01:22 PM,18,4,1:20:58 PM,18,4,1:31:48 PM,18,4,1:59:29 PM,6,25.7,,-1.2818920,36.7834972,-1.2544802,36.8111822,Rider_Id_565,1661
Order_No_17165,User_Id_633,Bike,3,Business,6,3,11:14:59 AM,6,3,11:15:17 AM,6,3,11:38:00 AM,6,3,11:41:30 AM,6,3,11:51:25 AM,4,,,-1.3077869,36.8443207,-1.3004062,36.829741,Rider_Id_448,595
Order_No_18585,User_Id_867,Bike,3,Business,14,4,10:23:23 AM,14,4,10:23:32 AM,14,4,10:23:45 AM,14,4,10:38:56 AM,14,4,11:11:38 AM,15,23.7,,-1.2991441,36.7528804,-1.3228003,36.8306435,Rider_Id_39,1962
Order_No_12918,User_Id_2200,Bike,3,Business,18,2,1:32:46 PM,18,2,1:33:09 PM,18,2,1:44:02 PM,18,2,1:51:06 PM,18,2,2:38:59 PM,11,25.8,,-1.2927792,36.9053492,-1.2908940,36.822971,Rider_Id_231,2873
Order_No_26182,User_Id_1927,Bike,3,Business,14,1,3:42:01 PM,14,1,3:45:43 PM,14,1,4:03:04 PM,14,1,4:10:55 PM,14,1,4:38:46 PM,19,25.6,,-1.2859912,36.8756811,-1.3404187,36.7614685,Rider_Id_720,1671
Order_No_5424,User_Id_1218,Bike,2,Personal,27,5,9:27:36 AM,27,5,9:50:43 AM,27,5,10:13:00 AM,27,5,10:14:36 AM,27,5,10:51:58 AM,19,16.2,,-1.3605299,36.7579536,-1.2630828,36.8050538,Rider_Id_194,2242
Order_No_9322,User_Id_970,Bike,3,Business,7,4,3:34:03 PM,7,4,3:34:18 PM,7,4,3:41:51 PM,7,4,3:47:43 PM,7,4,4:33:10 PM,19,31,,-1.2571472,36.7950633,-1.3325582,36.7406697,Rider_Id_401,2727
Order_No_2401,User_Id_478,Bike,3,Business,8,5,11:16:38 AM,8,5,11:18:06 AM,8,5,11:25:50 AM,8,5,11:33:00 AM,8,5,12:40:05 PM,15,28.2,,-1.2551895,36.7822034,-1.3278522,36.8711134,Rider_Id_147,4025
Order_No_2393,User_Id_393,Bike,3,Business,8,4,10:58:27 AM,8,4,10:58:43 AM,8,4,10:58:48 AM,8,4,11:22:52 AM,8,4,12:11:30 PM,14,26.2,,-1.3177547,36.8303703,-1.3063780,36.7519845,Rider_Id_239,2918
Order_No_4823,User_Id_2929,Bike,3,Business,11,2,11:44:46 AM,11,2,1:31:36 PM,11,2,1:32:02 PM,11,2,1:51:06 PM,11,2,1:51:20 PM,5,25.7,,-1.2695340,36.80697,-1.2551895,36.7822034,Rider_Id_185,14
Order_No_13324,User_Id_824,Bike,1,Business,14,7,1:49:56 PM,14,7,1:50:37 PM,14,7,2:06:44 PM,14,7,2:09:55 PM,14,7,2:21:14 PM,8,28.6,,-1.2248308,36.8012573,-1.2075460,36.7913976,Rider_Id_743,679
Order_No_27621,User_Id_2956,Bike,3,Business,2,1,12:11:07 PM,2,1,12:17:58 PM,2,1,12:24:00 PM,2,1,12:26:08 PM,2,1,12:39:29 PM,5,19.3,,-1.2584143,36.8048002,-1.2885315,36.8230419,Rider_Id_726,801
Order_No_23062,User_Id_1796,Bike,3,Business,18,4,9:45:36 AM,18,4,9:52:02 AM,18,4,10:04:47 AM,18,4,10:17:20 AM,18,4,10:40:01 AM,11,,,-1.2657150,36.823815,-1.3316190,36.847976,Rider_Id_710,1361
Order_No_8724,User_Id_2987,Bike,3,Business,7,3,11:12:58 AM,7,3,11:19:32 AM,7,3,11:31:13 AM,7,3,11:34:33 AM,7,3,11:57:02 AM,8,25.2,,-1.2702120,36.8210877,-1.3271374,36.8495534,Rider_Id_949,1349
Order_No_23720,User_Id_391,Bike,3,Business,23,2,1:00:31 PM,23,2,1:00:50 PM,23,2,1:18:47 PM,23,2,1:47:23 PM,23,2,1:47:27 PM,4,,,-1.2839729,36.8115146,-1.2867454,36.8259017,Rider_Id_613,4
Order_No_5762,User_Id_2150,Bike,3,Business,2,3,12:38:22 PM,2,3,12:38:47 PM,2,3,12:51:18 PM,2,3,12:56:37 PM,2,3,1:45:16 PM,23,24,,-1.2289110,36.881876,-1.3444460,36.756597,Rider_Id_75,2919
Order_No_21200,User_Id_2358,Bike,4,Business,18,4,12:34:58 PM,18,4,12:35:03 PM,18,4,12:36:47 PM,18,4,12:48:39 PM,18,4,1:07:46 PM,12,25.5,,-1.3462860,36.768793,-1.2939730,36.80169,Rider_Id_622,1147
Order_No_11711,User_Id_1450,Bike,3,Personal,28,4,12:27:06 PM,28,4,12:28:16 PM,28,4,12:41:14 PM,28,4,12:46:22 PM,28,4,1:01:41 PM,3,,,-1.2995135,36.7933633,-1.2952784,36.7793271,Rider_Id_124,919
Order_No_17131,User_Id_393,Bike,3,Business,27,2,10:13:14 AM,27,2,10:47:17 AM,27,2,10:54:59 AM,27,2,11:23:01 AM,27,2,11:53:49 AM,14,23.6,,-1.3177547,36.8303703,-1.3063780,36.7519845,Rider_Id_878,1848
Order_No_27235,User_Id_134,Bike,3,Business,28,4,3:10:47 PM,28,4,3:11:23 PM,28,4,3:20:47 PM,28,4,3:25:07 PM,28,4,3:37:35 PM,5,30.1,,-1.2609745,36.7886626,-1.2743958,36.8215915,Rider_Id_785,748
Order_No_10820,User_Id_1281,Bike,3,Business,25,2,10:49:53 AM,25,2,10:52:27 AM,25,2,11:04:30 AM,25,2,11:19:26 AM,25,2,12:20:53 PM,9,23.9,,-1.2869041,36.8240057,-1.2706815,36.7646286,Rider_Id_532,3687
Order_No_2255,User_Id_419,Bike,3,Business,3,3,1:54:12 PM,3,3,1:56:02 PM,3,3,1:56:25 PM,3,3,2:31:08 PM,3,3,2:44:52 PM,7,26.7,,-1.2886923,36.8241519,-1.2571472,36.7950633,Rider_Id_6,824
Order_No_15634,User_Id_3560,Bike,3,Business,24,5,3:10:32 PM,24,5,3:12:10 PM,24,5,3:12:59 PM,24,5,3:17:43 PM,24,5,4:42:48 PM,18,22.8,,-1.3705766,36.9120742,-1.2793950,36.825364,Rider_Id_564,5105
Order_No_13979,User_Id_1578,Bike,3,Business,5,1,3:20:54 PM,5,1,3:22:01 PM,5,1,3:43:03 PM,5,1,3:48:49 PM,5,1,4:13:36 PM,5,25.8,,-1.2887800,36.8168312,-1.2597529,36.806629,Rider_Id_795,1487
Order_No_14861,User_Id_1187,Bike,1,Personal,17,1,10:40:49 AM,17,1,10:53:09 AM,17,1,11:11:00 AM,17,1,11:19:50 AM,17,1,11:48:04 AM,4,25.2,,-1.3025958,36.8614441,-1.3302867,36.8542859,Rider_Id_810,1694
Order_No_18800,User_Id_1329,Bike,3,Business,13,1,3:18:01 PM,13,1,3:22:55 PM,13,1,3:33:57 PM,13,1,3:37:17 PM,13,1,3:59:04 PM,6,,,-1.2730560,36.811298,-1.2370629,36.7981962,Rider_Id_161,1307
Order_No_26616,User_Id_2523,Bike,3,Business,13,1,9:13:15 AM,13,1,9:13:53 AM,13,1,9:18:28 AM,13,1,9:19:53 AM,13,1,10:03:34 AM,20,,,-1.2551895,36.7822034,-1.3251247,36.8995926,Rider_Id_190,2621
Order_No_20962,User_Id_3544,Bike,2,Personal,18,5,6:52:38 PM,18,5,7:28:20 PM,18,5,7:42:19 PM,18,5,8:01:32 PM,18,5,8:21:28 PM,4,19.3,,-1.2553700,36.7756,-1.2713770,36.7884294,Rider_Id_103,1196
